,Date Received,Product Name,Sub Product,Issue,Sub Issue,Consumer Complaint Narrative,Company Public Response,Company,State Name,Zip Code,Tags,Consumer Consent Provided,Submitted via,Date Sent to Company,Company Response to Consumer,Timely Response,Consumer Disputed,Complaint ID
104,2013-07-30,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,1.2089745337535338,-0.9048141712537534,"Professional Debt Mediation, Inc.",FL,32304.0,,99.14082546175669,Web,2013-09-19,Closed with explanation,Yes,No,469753
105,2013-07-30,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,1.2077989960083317,-0.8398521786929029,"Select Portfolio Servicing, Inc",NY,11234.0,,53.698772656198514,Web,2013-07-29,Closed with explanation,Yes,Yes,466892
106,2013-07-30,Credit card,,Identity theft / Fraud / Embezzlement,,1.649654247088679,-1.6983226964445692,Barclays PLC,SC,29412.0,,25.19204392636636,Web,2013-07-29,Closed with explanation,Yes,No,469755
107,2013-07-31,Credit reporting,,Incorrect information on credit report,Account terms,0.5663108966970182,-1.1542142389319348,Capital One,GA,30126.0,,99.75606925210907,Web,2013-08-02,Closed with explanation,Yes,No,470928
108,2013-07-30,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,2.2178996657029986,-3.0368005970306964,Bank of America,CA,91320.0,,8.591776289614412,Web,2013-07-30,Closed with explanation,Yes,No,476001
109,2013-07-31,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,2.0280703122053527,-0.8758106887468791,JPMorgan Chase & Co.,NC,28075.0,Servicemember,39.4582759426843,Referral,2013-08-05,Closed with explanation,Yes,No,470978
110,2013-07-30,Credit reporting,,Incorrect information on credit report,Account status,1.2361107881168643,-4.201080795156523,Experian,MN,55390.0,,83.73050460789473,Postal mail,2013-08-12,Closed with explanation,Yes,No,469777
111,2013-07-30,Credit reporting,,Incorrect information on credit report,Account status,1.7794401892790934,-1.1831126943458716,Experian,IA,50325.0,,13.848482633690628,Postal mail,2013-08-12,Closed with explanation,Yes,No,469781
112,2013-07-30,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,2.9413758176740474,-0.6683350785462904,"TransUnion Intermediate Holdings, Inc.",OH,43701.0,,60.409168055662086,Web,2013-07-30,Closed with explanation,Yes,Yes,479487
113,2013-07-31,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,1.77922415029411,-0.8810879604412983,Experian,IL,60633.0,,32.0494338183183,Postal mail,2013-08-02,Closed with non-monetary relief,Yes,No,470951
114,2013-07-31,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,0.930493977018805,-0.7178827123033011,Receivables Performance Management LLC,NY,11205.0,,34.296885674340885,Web,2013-07-31,Closed with explanation,Yes,Yes,470955
115,2013-07-30,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,1.7835028458858146,-2.3671261487149735,Nationstar Mortgage,NC,28457.0,,51.238761151415,Referral,2013-07-31,Closed with explanation,Yes,No,470012
116,2013-07-30,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,1.6353679300579258,-0.8864332439918869,JPMorgan Chase & Co.,AL,36526.0,,11.349955055354439,Referral,2013-07-31,Closed with explanation,Yes,No,470091
117,2013-07-30,Credit reporting,,Incorrect information on credit report,Account status,1.126024050815722,-0.5847505418969164,Equifax,NJ,7111.0,,58.69032435397002,Referral,2013-08-19,Closed with non-monetary relief,Yes,No,469792
118,2013-07-31,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,2.1113716526538187,-0.5824854297326632,"TransUnion Intermediate Holdings, Inc.",IL,60633.0,,50.277457038071326,Postal mail,2013-08-02,Closed with explanation,Yes,No,470962
119,2013-07-31,Bank account or service,Checking account,Problems caused by my funds being low,,1.4173440012437366,-0.6995918696427054,TD Bank US Holding Company,FL,33186.0,,71.09013667455272,Referral,2013-08-02,Closed with monetary relief,Yes,No,471071
120,2013-07-31,Mortgage,Other mortgage,"Application, originator, mortgage broker",,0.8704902776871424,-1.783426422709198,U.S. Bancorp,WI,53130.0,,39.88422341681096,Referral,2013-08-05,Closed with explanation,Yes,No,470985
